log,net
MODEL_LINK_ID,model_link_id
SHSTGEOMETRYID,shstGeometryId
DISTANCE,distance
ROADWAY,roadway
NAME,name
ROADWAY_CLASS,roadway_class
BIKE_FACILITY,bike_facility
BIKE_ACCESS,bike_access
TRANSIT_ACCESS,transit_access
WALK_ACCESS,walk_access
DRIVE_ACCESS,drive_access
TRUCK_ACCESS,truck_access
TRN_PRIORITY_AM,trn_priority_AM
TRN_PRIORITY_MD,trn_priority_MD
TRN_PRIORITY_PM,trn_priority_PM
TRN_PRIORITY_NT,trn_priority_NT
TTIME_ASSERT_AM,ttime_assert_AM
TTIME_ASSERT_MD,ttime_assert_MD
TTIME_ASSERT_PM,ttime_assert_PM
TTIME_ASSERT_NT,ttime_assert_NT
LANES_AM,lanes_AM
LANES_MD,lanes_MD
LANES_PM,lanes_PM
LANES_NT,lanes_NT
LANES_EA,lanes_EA
LANES_EV,lanes_EV
PRICE_SOV_AM,price_sov_AM
PRICE_HOV2_AM,price_hov2_AM
PRICE_HOV3_AM,price_hov3_AM
PRICE_TRUCK_AM,price_truck_AM
PRICE_SOV_MD,price_sov_MD
PRICE_HOV2_MD,price_hov2_MD
PRICE_HOV3_MD,price_hov3_MD
PRICE_TRUCK_MD,price_truck_MD
PRICE_SOV_PM,price_sov_PM
PRICE_HOV2_PM,price_hov2_PM
PRICE_HOV3_PM,price_hov3_PM
PRICE_TRUCK_PM,price_truck_PM
PRICE_SOV_NT,price_sov_NT
PRICE_HOV2_NT,price_hov2_NT
PRICE_HOV3_NT,price_hov3_NT
PRICE_TRUCK_NT,price_truck_NT
ROAD_CLASS_IDX,road_class_idx
ASSIGN_GROUP,assign_group
ACCESS_AM,access_AM
ACCESS_MD,access_MD
ACCESS_PM,access_PM
ACCESS_NT,access_NT
MPO,mpo
AREA_TYPE,area_type
COUNT_YEAR,count_year
COUNT_AM,count_AM
COUNT_MD,count_MD
COUNT_PM,count_PM
COUNT_NT,count_NT
COUNTY,county
CENTROIDCONNECT,centroidconnect
COUNT_DAILY,count_daily
N,model_node_id
OSM_NODE_ID,osm_node_id
TRANSIT_NODE,transit_node
BIKE_NODE,bike_node
DRIVE_NODE,drive_node
WALK_NODE,walk_node
SEGMENT_ID,segment_id
ML_LANES_AM,ML_lanes_AM
ML_LANES_MD,ML_lanes_MD
ML_LANES_PM,ML_lanes_PM
ML_LANES_NT,ML_lanes_NT
ML_LANES_EA,ML_lanes_EA
ML_LANES_EV,ML_lanes_EV
MANAGED,managed
BUS_ONLY,bus_only
RAIL_ONLY,rail_only
USECLASS_EA,useclass_EA
USECLASS_AM,useclass_AM
USECLASS_MD,useclass_MD
USECLASS_PM,useclass_PM
USECLASS_EV,useclass_EV
