net,dbf
model_link_id,link_id
shstGeometryId,geoId
roadway_class,rdclass
bike_facility, bike_fac
bike_access,bike
transit_access,transit
walk_access,walk
drive_access,drive
truck_access,truck
trn_priority_AM,tp_AM
trn_priority_MD,tp_MD
trn_priority_PM,tp_PM
trn_priority_NT,tp_NT
ttime_assert_AM,tta_AM
ttime_assert_MD,tta_MD
ttime_assert_PM,tta_PM
ttime_assert_NT,tta_NT
price_sov_AM,P_SOV_AM
price_hov2_AM,P_HOV2_AM
price_hov3_AM,P_HOV3_AM
price_truck_AM,P_TRK_AM
price_sov_MD,P_SOV_MD
price_hov2_MD,P_HOV2_MD
price_hov3_MD,P_HOV3_MD
price_truck_MD,P_TRK_MD
price_sov_PM,P_SOV_PM
price_hov2_PM,P_HOV2_PM
price_hov3_PM,P_HOV3_PM
price_truck_PM,P_TRK_PM
price_sov_NT,P_SOV_NT
price_hov2_NT,P_HOV2_NT
price_hov3_NT,P_HOV3_NT
price_truck_NT,P_TRK_NT
road_class_idx,rdclass_ix
assign_group,assgngrp
centroidconnect,centroid
count_daily,count_day
model_node_id,node_id
osm_node_id,osmnodeid
transit_node,tran_node
ML_lanes_AM,m_lanes_AM
ML_lanes_MD,m_lanes_MD
ML_lanes_PM,m_lanes_PM
ML_lanes_NT,m_lanes_NT
