assignment_group,asgngrp_def,roadway_class,rc_num_def
1,Metered Freeway,10,interstate
2,Unmetered Freeway,10,interstate
3,metered local ramp,60,ramp
4,unmetered local ramp,60,ramp
5,divided arterial,30,primary road
6,undivided arterial,30,primary road
7,collector,40,major road
8,HOV facility,10,interstate
9,centroid connector,99,centroid
10,HOV dummy,10,interstate
11,collector/distribution road,60,ramp
13,metered system ramp,60,ramp
14,unmetered system ramp,60,ramp
15,expressway,20,trunk highway
98,bus only,40,major road
100,railroad,100,rail
101,bike link,101,bikes
0,na,0,na
