agency_raw_name,agency_name,agency_id,TM2_operator,route_type,TM2_mode,TM2_line_haul_name,TM2_faresystem,is_express_bus,VEHTYPE
ACE_2017_3_20,ACE Altamont Corridor Express,CE,5,2,133,Commuter rail,44,0,Unknown Train
ACTransit_2015_8_14,AC Transit,AC Transit,30,3,30,Local bus,6,0,Motor Standard Bus
ACTransit_2015_8_14,AC Transit,AC Transit,30,3,84,Express bus,28,1,AC Plus Bus
BART_2015_8_3,Bay Area Rapid Transit,BART,26,1,120,Heavy rail,41,0,10 Car BART
Blue&Gold_gtfs_10_4_2017,Blue & Gold Fleet,BG,3,4,103,Ferry service,37,0,Ferry small
CCTA_2015_8_11,County Connection,,15,3,42,Local bus,10,0,Motor Standard Bus
CCTA_2015_8_11,County Connection,,15,3,86,Express bus,29,1,Motor Standard Bus
Caltrain_2015_5_13,Caltrain,caltrain-ca-us,17,2,130,Commuter rail,42,0,Caltrain
Caltrain_2015_5_13,Caltrain,caltrain-ca-us,17,3,14,Local bus,0,0,Motor Small Bus
Capitol_2017_3_20,Capitol Corridor,AM,23,2,131,Commuter rail,43,0,Unknown Train
Emeryville_2016_10_26,Emery Go-Round,573,10,3,12,Local bus,1,0,Motor Small Bus
Fairfield_2015_10_14,Fairfield and Suisun Transit,36,28,3,52,Local bus,14,0,Motor Standard Bus
Fairfield_2015_10_14,Fairfield and Suisun Transit,36,28,3,92,Express bus,33,1,Motor Standard Bus
GGFerries_2017_3_18,San Francisco Bay Ferry,SB,20,4,101,Ferry service,36,0,Ferry GGT
GGTransit_2015_9_3,Golden Gate Transit,,20,2,101,Ferry service,36,0,Ferry GGT
GGTransit_2015_9_3,Golden Gate Transit,,35,3,70,Local bus,23,0,Motor Standard Bus
GGTransit_2015_9_3,Golden Gate Transit,,35,3,87,Express bus,30,1,Motor Standard Bus
MVGo_2016_10_26,MVgo Mountain View,533,99,3,16,Local bus,0,0,Motor Small Bus
Marguerite_2016_10_10,Stanford Marguerite Shuttle,,7,3,13,Local bus,1,0,Motor Small Bus
MarinTransit_2015_8_31,Marin Transit,MCTD,39,3,71,Local bus,24,0,Motor Standard Bus
Petaluma_2016_5_22,Petaluma Transit,267,21,3,68,Local bus,22,0,Motor Standard Bus
RioVista_2015_8_20,Rio Vista Delta Breeze,5,13,3,52,Local bus,14,0,Motor Standard Bus
SFMTA_2015_8_11,San Francisco Municipal Transportation Agency,SFMTA,22,0,110,Light rail,39,0,LRV2
SFMTA_2015_8_11,San Francisco Municipal Transportation Agency,SFMTA,22,3,20,Local bus,2,0,Motor Standard Bus
SFMTA_2015_8_11,San Francisco Municipal Transportation Agency,SFMTA,22,5,21,Local bus,3,0,Motor Standard Bus
SF_Bay_Ferry2016_07_01,San Francisco Bay Ferry,SB,25,4,101,Ferry service,36,0,Ferry
SamTrans_2015_8_20,SamTrans,samtrans-ca-us,6,3,24,Local bus,4,0,Motor Standard Bus
SamTrans_2015_8_20,SamTrans,samtrans-ca-us,6,3,80,Express bus,25,1,SamTrans Plus Bus
SantaRosa_google_transit_08_28_15,Santa Rosa CityBus,SRCityBus,1,3,66,Local bus,21,0,Motor Standard Bus
Soltrans_2016_5_20,SolTrans,247,12,3,49,Local bus,13,0,Motor Standard Bus
Soltrans_2016_5_20,SolTrans,247,12,3,91,Express bus,13,1,Motor Standard Bus
SonomaCounty_2015_8_18,Sonoma County Transit,175,19,3,63,Local bus,20,0,Motor Standard Bus
SonomaCounty_2015_8_18,Cloverdale Transit,183,19,3,63,Local bus,20,0,Motor Standard Bus
TriDelta-GTFS-2018-05-24_21-43-17,Tri Delta Transit,tri-delta-transit,4,3,44,Local bus,11,0,Motor Standard Bus
Union_City_Transit_Aug-01-2015 to Jun-30-2017,Union City Transit,UCT,36,3,38,Local bus,8,0,Motor Standard Bus
VTA_2015_8_27,VTA,VTA,31,0,111,Light rail,40,0,VTA LRT2
VTA_2015_8_27,VTA,VTA,31,3,28,Local bus,5,0,Motor Standard Bus
VTA_2015_8_27,VTA,VTA,31,3,81,Express bus,26,1,Motor Standard Bus
Vine_GTFS_PLUS_2015,Vine (Napa County),362,38,3,60,Local bus,19,0,Motor Standard Bus
Vine_GTFS_PLUS_2015,Vine (Napa County),362,38,3,94,Express bus,19,1,Motor Standard Bus
WestCAT_2016_5_26,WestCat (Western Contra Costa),392,37,3,46,Local bus,12,0,Motor Standard Bus
WestCAT_2016_5_26,WestCat (Western Contra Costa),392,37,3,90,Express bus,31,1,AC Plus Bus
petalumatransit-petaluma-ca-us__11_12_15,Petaluma Transit,267,21,3,68,Local bus,22,0,Motor Standard Bus
vacavillecitycoach-2020-ca-us,Vacaville City Coach,869,14,3,56,Local bus,17,0,Motor Standard Bus
westcat-ca-us_9_17_2015,WestCat (Western Contra Costa),392,37,3,46,Local bus,12,0,Motor Standard Bus
westcat-ca-us_9_17_2015,WestCat (Western Contra Costa),392,37,3,90,Express bus,31,1,AC Plus Bus
Wheels_2016_7_13,Wheels Bus,LAVTA,24,3,17,Local bus,7,0,Motor Standard Bus
commuteDOTorg_GTFSImportExport_20160127_final_mj,Commute.org Shuttle,alliance,17,3,14,Local bus,0,0,Motor Small Bus
